# SpectraMap / WITec Raman Pipeline Export
# Timestamp: 2026-07-22T13:04:50.618794
# Scan File: high_res_cell
# Grid: 25x25 (625 pixels)
# Processing Parameters:
#   crop_low: 400.0
#   crop_high: 3300.0
#   skip_silent: True
#   glass_method: None
#   cosmic_ray_threshold: 4.5
#   airpls_strength: 1000.0
#   airpls_itermax: 50
#   norm_mode: dual
#   n_endmembers: 10
#   map_interpolation: none
X_pixel,Y_pixel,EM1_Abundance,EM2_Abundance,EM3_Abundance,EM4_Abundance,EM5_Abundance,EM6_Abundance,EM7_Abundance,EM8_Abundance,EM9_Abundance,EM10_Abundance
0.000000000000000000e+00,0.000000000000000000e+00,8.742733597755432129e-01,0.000000000000000000e+00,1.867277361452579498e-02,0.000000000000000000e+00,1.178490091115236282e-02,1.325866580009460449e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.011111855506896973e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,9.998590350151062012e-01,0.000000000000000000e+00,2.710866043344140053e-03,0.000000000000000000e+00,1.012306660413742065e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,9.971455335617065430e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.226306479424238205e-03
4.000000000000000000e+00,0.000000000000000000e+00,1.003637671470642090e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.100405335426330566e-03
5.000000000000000000e+00,0.000000000000000000e+00,1.008400321006774902e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.144719706848263741e-03
6.000000000000000000e+00,0.000000000000000000e+00,9.188971519470214844e-01,0.000000000000000000e+00,9.836149401962757111e-04,0.000000000000000000e+00,8.838773518800735474e-02,3.562739002518355846e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,0.000000000000000000e+00,7.642655372619628906e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.200656741857528687e-01,1.442332565784454346e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,4.218363165855407715e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.023295104503631592e-01,3.062019646167755127e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00,1.143112406134605408e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.804471433162689209e-01,3.757280707359313965e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.057437181472778320e-02
1.000000000000000000e+01,0.000000000000000000e+00,1.371923950500786304e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.558526039123535156e-01,5.443498492240905762e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.090891584753990173e-01
1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.126529812812805176e-01,6.520169973373413086e-01,1.802880503237247467e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.315452158451080322e-01
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.460039429366588593e-02,2.830861806869506836e-01,5.298641920089721680e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.974672377109527588e-01
1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.866053976118564606e-02,3.514994680881500244e-01,4.252285659313201904e-01,3.028398007154464722e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.175931334495544434e-01
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.131882160902023315e-01,5.452453494071960449e-01,2.468174323439598083e-02,5.511317029595375061e-02,0.000000000000000000e+00,1.977265328168869019e-01
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.818695485591888428e-03,1.927256002090871334e-03,0.000000000000000000e+00,9.434112161397933960e-02,6.866348385810852051e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.421110719442367554e-01
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.673169650137424469e-03,0.000000000000000000e+00,4.561856389045715332e-02,6.894114017486572266e-01,1.035548895597457886e-01,4.104631021618843079e-03,0.000000000000000000e+00,1.819032579660415649e-01
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.679779291152954102e-01,1.818312704563140869e-01,3.450407832860946655e-02,0.000000000000000000e+00,1.479058116674423218e-01
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.106985285878181458e-02,0.000000000000000000e+00,5.872796177864074707e-01,2.667703926563262939e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.778266131877899170e-01
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.378711871802806854e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.914205372333526611e-01,3.609212636947631836e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.701603084802627563e-01
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.447446249425411224e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.917312324047088623e-01,5.530188679695129395e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.973799899220466614e-02
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.477046638727188110e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.239726126194000244e-01,6.712664961814880371e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.585460036993026733e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.822521626949310303e-01,7.108538150787353516e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.112518787384033203e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.124000966548919678e-01,5.810226202011108398e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.638544321060180664e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,9.851434826850891113e-01,0.000000000000000000e+00,3.699691221117973328e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.280011307448148727e-03,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.003418207168579102e+00,0.000000000000000000e+00,4.779311362653970718e-03,3.778953338041901588e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.476139994338154793e-03
2.000000000000000000e+00,1.000000000000000000e+00,9.713325500488281250e-01,0.000000000000000000e+00,2.139884606003761292e-02,1.005235780030488968e-02,0.000000000000000000e+00,1.684454642236232758e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,9.918408393859863281e-01,0.000000000000000000e+00,1.336549874395132065e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,9.834362864494323730e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.602197229862213135e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,9.293026924133300781e-01,0.000000000000000000e+00,2.016552537679672241e-02,0.000000000000000000e+00,7.647913880646228790e-04,4.961762577295303345e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.675963960587978363e-02
6.000000000000000000e+00,1.000000000000000000e+00,5.395703315734863281e-01,2.921468019485473633e-02,5.112904682755470276e-02,0.000000000000000000e+00,2.893562912940979004e-01,1.211223900318145752e-01,2.769726794213056564e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00,8.319579809904098511e-02,1.040515303611755371e-01,2.046138420701026917e-02,0.000000000000000000e+00,2.575064599514007568e-01,5.384071469306945801e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.930017113685607910e-01,0.000000000000000000e+00,1.318420190364122391e-02,0.000000000000000000e+00,6.128714084625244141e-01,8.602081984281539917e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.469062757678329945e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.472795844078063965e-01,7.704327106475830078e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.670984737575054169e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.026897788047790527e-02,9.359216690063476562e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.809465862810611725e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.983363330364227295e-01,7.916756272315979004e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.219419926404953003e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.207659661769866943e-01,5.735604166984558105e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.588303387165069580e-01,0.000000000000000000e+00,8.625452406704425812e-03,0.000000000000000000e+00,4.676265716552734375e-01,2.788673639297485352e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.820823490619659424e-01,1.374003384262323380e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.362574279308319092e-01,0.000000000000000000e+00,3.226548135280609131e-01,0.000000000000000000e+00,5.565290898084640503e-02
1.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.051326334476470947e-02,5.021662116050720215e-01,1.615311577916145325e-02,2.633347809314727783e-01,0.000000000000000000e+00,1.773961484432220459e-01
