# SpectraMap / WITec Raman Pipeline Export
# Timestamp: 2026-07-22T13:04:50.618794
# Scan File: high_res_cell
# Grid: 25x25 (625 pixels)
# Processing Parameters:
#   crop_low: 400.0
#   crop_high: 3300.0
#   skip_silent: True
#   glass_method: None
#   cosmic_ray_threshold: 4.5
#   airpls_strength: 1000.0
#   airpls_itermax: 50
#   norm_mode: dual
#   n_endmembers: 10
#   map_interpolation: none
Wavenumber,Endmember_1,Endmember_2,Endmember_3,Endmember_4,Endmember_5,Endmember_6,Endmember_7,Endmember_8,Endmember_9,Endmember_10
4.019329999999999927e+02,6.574854801994334252e-02,8.524928466442390981e-03,1.936156847052222102e-02,-7.705797682088583872e-03,4.148105052474809068e-02,1.587455324980850332e-02,2.221750669799918421e-03,1.875760822184227919e-02,1.729188516650138896e-02,2.328393634334159981e-02
4.047830000000000155e+02,7.158854129823034873e-02,8.213405471695859467e-03,1.506170165392393609e-02,7.166012106842808288e-03,4.285516606456365313e-02,1.582155518214851952e-02,6.965662297668449854e-03,1.898896180762408084e-02,1.547359035456115535e-02,2.530187685306846401e-02
4.076329999999999814e+02,7.905234920608641969e-02,7.288697325469700034e-03,3.147496510682898374e-03,2.961226942327688585e-02,4.204438222290746152e-02,1.870907276698664801e-02,1.197382357020062606e-02,2.272900199454549325e-02,1.346982973546355551e-02,2.576947357288301987e-02
4.104809999999999945e+02,7.740069034211680132e-02,8.302831260467494895e-03,-6.491703194926878168e-03,2.742724059245778279e-02,4.153000366266914462e-02,1.751700008234378936e-02,1.488326585519892525e-02,2.559535219814911347e-02,2.345587732905674364e-02,2.647210870216522641e-02
4.133290000000000077e+02,7.300421033248774560e-02,8.509459265505947556e-03,-3.741047548473330070e-03,1.703943006233974919e-02,4.445665796810848586e-02,1.259102221798190195e-02,1.514544444094484237e-02,2.901534665761545950e-02,2.448883159797609829e-02,2.716922649723796726e-02
4.161759999999999877e+02,7.244545810375337125e-02,1.031398899648394707e-02,-1.494535433439438815e-03,1.551146990473937885e-02,4.690206549258229413e-02,1.193303874461961768e-02,1.142810953099472615e-02,2.816149992614809874e-02,2.607995132195915083e-02,2.767308582453770205e-02
4.190210000000000150e+02,7.544476403096871120e-02,8.346911184120189842e-03,5.037876287120872376e-03,1.227347970661728585e-02,4.564042307896599288e-02,1.326629067822963394e-02,1.091319013526977598e-02,2.347152145466422854e-02,2.241429497307968061e-02,2.468141984229803992e-02
4.218659999999999854e+02,8.171922150639596150e-02,7.896309908907543640e-03,1.367220909777211793e-02,1.195553215546516813e-02,4.463923713235884438e-02,1.813991318169746320e-02,1.155416098517365701e-02,2.236796373877809191e-02,2.205084060176367919e-02,2.195430109049720940e-02
4.247099999999999795e+02,7.195784538217250836e-02,9.319464515812520694e-03,1.259028847180492655e-02,5.903966588985634645e-03,4.909192917048403604e-02,1.380285570153799192e-02,1.239423455329715859e-02,2.429252232774600437e-02,2.467696348841016962e-02,2.336317139396436315e-02
4.275529999999999973e+02,7.010304028077096739e-02,1.409956694639419306e-02,8.270169137113533159e-03,1.629050059993536470e-02,5.414260781163990344e-02,1.059590114627108684e-02,1.155548233695799336e-02,2.561591839439843199e-02,3.040948745698045241e-02,2.468435668286624030e-02
4.303949999999999818e+02,7.410540989165786963e-02,1.547327761296751758e-02,-2.282605883912589007e-03,2.040756957328915960e-02,5.482414065791889335e-02,7.729643086654594542e-03,1.368711098295614763e-02,2.797537872665964431e-02,3.364406651587873581e-02,2.509104110406388394e-02
4.332359999999999900e+02,8.306522229304219573e-02,1.689244592299858627e-02,1.592764374721288706e-03,1.928008974536066927e-02,5.605135983307193981e-02,1.544116931071662195e-02,1.758530699912416034e-02,3.273633067374760730e-02,3.518735155957466998e-02,2.477400646252166452e-02
4.360760000000000218e+02,8.932894104326535856e-02,1.317641427531509452e-02,9.102445485981942863e-03,2.008688777810209436e-02,5.005062853835204328e-02,2.318886490892346774e-02,2.016340537861419091e-02,3.464148176846447436e-02,3.604961682219765678e-02,2.282215998956284297e-02
4.389150000000000205e+02,9.248072895003481286e-02,7.824323304918227168e-03,3.291882679961038310e-03,2.599433274535404778e-02,4.860438156019335904e-02,2.361033774885791525e-02,1.677362871442429626e-02,3.113287452291792906e-02,2.764424973142205408e-02,2.369091709960079173e-02
4.417540000000000191e+02,9.138858755304743453e-02,3.541402432558633795e-03,4.261546232430125231e-03,2.602452512465125781e-02,4.533778845642214700e-02,2.164430869207329203e-02,1.165244090175974676e-02,2.779229137816895817e-02,2.049023391801077162e-02,2.398936608354138716e-02
4.445910000000000082e+02,8.813054019474592105e-02,1.681289578933344714e-03,-1.770392903908561688e-03,7.307359899352786070e-03,4.295330840175387577e-02,1.675445291189074648e-02,8.987620006538934309e-03,2.580037610465745965e-02,1.223527736108146087e-02,2.417851683038061555e-02
4.474270000000000209e+02,8.915533580845869110e-02,2.436441971576122634e-03,6.523135444694055235e-03,6.156291935659441786e-03,3.620018573916836124e-02,1.274535877180397667e-02,1.133338030430862571e-02,2.191881215952132603e-02,1.390347891741347888e-02,1.919366616099741837e-02
4.502629999999999768e+02,7.890776782481798146e-02,6.148828348852839257e-03,-7.346772202727218370e-03,5.702481434513084063e-03,3.954737061325917791e-02,5.485912885387852350e-03,9.298782846015171341e-03,1.763951888996681885e-02,2.045467888857445057e-02,1.842904651320229764e-02
4.530969999999999800e+02,7.232554173417841958e-02,1.170268876737373676e-02,-2.746898567808520042e-03,1.224543061373687541e-02,4.757363975857314964e-02,1.876235313568647145e-03,7.605270297230288037e-03,1.668975851055036486e-02,3.501517276723190714e-02,2.003544063759097466e-02
4.559309999999999832e+02,7.096234012192149943e-02,1.408394463970763857e-02,-1.002619096397158738e-02,1.688111773633212825e-02,5.316224197870697554e-02,-2.167367721838085737e-04,9.138419496464732228e-03,1.814226194614240728e-02,3.971828586844318443e-02,2.305063556072298181e-02
4.587640000000000100e+02,7.568094012757572986e-02,1.399622518401076425e-02,-7.457035009257845237e-03,2.867771332198220877e-02,4.938021337203168243e-02,4.536225142590888382e-03,1.196162466504040005e-02,2.081074540802881415e-02,3.737145319857839570e-02,2.322428389846427702e-02
4.615960000000000036e+02,7.704546639284426401e-02,1.209462439924586206e-02,-9.296314203378307217e-04,2.350649063756669876e-02,4.319077956212544200e-02,8.241093450280279759e-03,1.211305233968764522e-02,2.173241856916780998e-02,3.248205890350117780e-02,2.165263577631007866e-02
4.644270000000000209e+02,8.245141621900153872e-02,4.689001415423030977e-03,9.387789144842282815e-03,8.090882965932102294e-03,4.041410072458399838e-02,1.250696509822100087e-02,1.259089209481980415e-02,2.056429223573868342e-02,1.819627834905870531e-02,1.984329784590501203e-02
4.672559999999999718e+02,8.584306302170696679e-02,-5.429681674742718733e-04,1.241555911766697301e-02,6.044483970827595198e-04,3.942241740507448217e-02,1.372677768282574984e-02,1.226285818288385537e-02,1.666929135272515738e-02,1.121820606246152346e-02,1.893872643227113850e-02
4.700849999999999795e+02,7.444288626599790404e-02,2.995463130226531240e-03,3.714781161883690813e-03,3.758451144069850994e-03,4.053047740279200339e-02,7.363848499207634526e-03,8.024672310715649445e-03,1.518766143437166524e-02,2.163401894468464093e-02,2.119166866544802338e-02
4.729139999999999873e+02,6.548611192818326598e-02,1.100566125252504419e-02,-9.256026735866215716e-04,7.517936337004760272e-03,4.584179907734364096e-02,3.078576903116515134e-03,4.047099286285459063e-03,1.853411709443628791e-02,3.790154093842801331e-02,2.192566377654567647e-02
4.757409999999999854e+02,6.453304876971506510e-02,1.362634726025304527e-02,-1.991674853906354181e-03,5.747724531495149169e-03,5.072456447257493728e-02,8.511659016178682938e-03,5.885324545986409667e-03,2.275918227935161756e-02,3.422397779718610450e-02,2.300381416048719388e-02
4.785670000000000073e+02,7.425722135476600649e-02,1.602493942873581961e-02,5.733885936850778575e-03,1.077527476948654528e-02,5.461940508622506463e-02,1.521827359725399023e-02,1.049516516677936884e-02,2.772343069763881854e-02,3.470706044775358906e-02,2.388626413607359070e-02
4.813919999999999959e+02,7.874554987082094115e-02,1.884227743239026004e-02,2.872620482415164100e-02,1.034884625881640416e-02,5.414255305921460149e-02,2.128882325596051853e-02,1.340446586896834949e-02,3.127828940366925159e-02,3.953675800165903920e-02,2.639315591490026119e-02
4.842169999999999845e+02,7.933045368516304652e-02,1.733465048187814161e-02,4.142294210606725646e-02,1.380364061900809722e-02,5.151208530086567178e-02,2.670766241328098589e-02,1.335877663551202771e-02,3.084841866503676422e-02,3.356248061687319012e-02,2.309262415805822533e-02
4.870400000000000205e+02,8.440303234897070239e-02,1.537177010630677403e-02,4.607844857632574509e-02,1.702170409065489887e-02,5.186876968755299577e-02,3.012229472352298196e-02,1.306208940571736837e-02,3.178537914704997192e-02,3.046939249817842352e-02,2.186029417389084850e-02
4.898629999999999995e+02,9.089795421592303248e-02,1.579913154913527989e-02,3.352300439493791084e-02,1.970389055004745371e-02,5.776531167840310427e-02,2.704424854447518012e-02,1.626149593349864725e-02,3.069410581404479268e-02,3.315235339948734844e-02,2.236616104725720755e-02
4.926840000000000259e+02,9.209328734029752217e-02,1.537925997474309109e-02,1.177462452848083985e-02,1.116568705363032640e-02,5.689422406757104617e-02,2.512764413500676725e-02,1.723436462401425201e-02,2.938518945183611966e-02,3.161773947920952510e-02,2.416079912727060741e-02
4.955049999999999955e+02,7.958517347431168232e-02,1.446930151920922288e-02,7.087793202167510381e-03,1.494329200331850384e-02,5.569033562671683868e-02,1.580479777579964912e-02,1.461619741730321199e-02,2.577077037238452439e-02,2.862390914814466614e-02,2.253494958255549546e-02
4.983249999999999886e+02,7.137426972404788128e-02,1.526425917937177835e-02,1.092000192940418245e-02,1.788410794403681031e-02,5.820736709018366206e-02,1.065405534662045538e-02,9.469174919187153816e-03,2.748254181586748043e-02,3.479481678903931230e-02,2.049701729334923311e-02
5.011440000000000055e+02,7.330728630582256100e-02,1.371128723932718216e-02,8.686196068664619324e-03,1.529519877302949749e-02,5.660836658650535147e-02,1.594063469130033855e-02,8.788419828391909328e-03,2.548629529305147801e-02,2.771136688046612825e-02,1.900779217335859389e-02
5.039619999999999891e+02,7.602840012005979142e-02,1.116195778679973487e-02,-6.059901021872038385e-04,1.143131578087172931e-02,4.794302997696625601e-02,1.922909196931069792e-02,8.425728833166333184e-03,2.164588183719339323e-02,1.705923610523404216e-02,1.872790667263492942e-02
5.067789999999999964e+02,7.527218600291026018e-02,7.429025888353337631e-03,-1.450493310528978147e-03,1.446619935507389813e-02,4.358724368564764751e-02,1.557441084281705086e-02,8.556791877222009665e-03,1.880529086181847304e-02,1.224109345229688721e-02,1.881766639192536741e-02
5.095950000000000273e+02,6.623192474484591863e-02,5.962517230789386377e-03,4.124373499243688679e-03,1.488903233930744321e-02,4.694854062505212505e-02,1.358804464662161267e-02,1.004477774182477821e-02,1.883561120554740759e-02,1.628307083713458059e-02,1.858178606818579326e-02
5.124099999999999682e+02,5.950327204572047890e-02,7.661842890392876054e-03,9.527312251459731096e-03,1.301788506661012181e-02,4.523174705927806433e-02,1.560353714971586536e-02,1.176095634839795234e-02,1.938160032514766457e-02,1.999496036059687093e-02,1.692046662447139332e-02
5.152240000000000464e+02,4.797296502487972958e-02,1.029227569513703304e-02,6.912083236528169736e-03,1.815325079526433627e-02,3.431540031116284140e-02,1.201383716066105334e-02,6.345667925344704655e-03,1.741619682695518326e-02,2.592317796501284605e-02,1.376999254194425336e-02
5.180380000000000109e+02,4.553301739408301130e-02,6.964995051538497295e-03,-2.466390112828460712e-03,2.343581333648329934e-02,2.259762922438047356e-02,9.899748191188511084e-03,4.348784686363117019e-04,1.334365430151820790e-02,1.965376803461869534e-02,1.011631201134298441e-02
5.208500000000000227e+02,4.147832384281063128e-02,1.715567075774578759e-03,-3.398047670705877515e-03,2.148145488317633467e-02,2.113063587243349528e-02,7.063321438845509420e-03,-2.569223608713240223e-03,8.806065369646839253e-03,8.493020370090569732e-03,1.004462903512929640e-02
5.236620000000000346e+02,4.306011015174639189e-02,-9.826143042497240826e-04,6.173145060864316733e-03,1.959698849388032127e-02,2.268946556216437649e-02,4.156483793617219563e-03,2.736546025610478439e-03,7.462217730654870096e-03,-2.144131931776616443e-03,1.064140855609761738e-02
5.264719999999999800e+02,4.063668507066332813e-02,4.342692249194729515e-04,2.672300774324573927e-03,2.022606833041092067e-02,1.912822813547707460e-02,3.399711078580195008e-03,4.219401695136896190e-03,9.582516891704856779e-03,-1.060152299908611803e-03,1.187038637206172358e-02
5.292820000000000391e+02,3.720909735418613529e-02,1.478817235347738152e-03,-1.684536488381082470e-03,2.583762139541381092e-02,1.729745762574899648e-02,5.879738991868251399e-03,5.726758194977630591e-03,1.222499442532958870e-02,5.054802016783173542e-03,1.110324065422724910e-02
5.320910000000000082e+02,3.407611904832984900e-02,3.413199065743950655e-04,-1.329439869472964081e-03,1.573773713750532821e-02,2.121651522683747765e-02,4.769931935244543959e-03,1.693732353566188356e-03,1.302882092647065018e-02,1.014941163218351615e-02,1.104042068900599159e-02
5.348990000000000009e+02,3.631261282048608985e-02,-3.404261438369667395e-03,4.117449834651374513e-03,5.864203828014362060e-03,2.082928911646804437e-02,1.164228753089043174e-03,1.818919714297452354e-03,9.084232258263907900e-03,4.113537931180496002e-03,8.914646158910480289e-03
5.377060000000000173e+02,3.558359673887061259e-02,-7.071459323647543219e-03,8.108059634391644177e-03,-1.657749976090094196e-03,1.414194926762408697e-02,-3.192186127003648552e-03,1.008659081215247492e-03,6.836753617957240167e-03,3.597758161333643005e-03,8.790652943238077416e-03
5.405119999999999436e+02,3.013665657661395228e-02,-4.440391610858741324e-03,-1.507429012931489447e-03,7.657946704280149501e-03,9.177737120272210641e-03,-4.693020898390075878e-03,-1.581857523933177107e-03,6.210513415698933580e-03,1.163500345526695054e-02,8.619424068468025182e-03
5.433170000000000073e+02,3.157418980048792845e-02,-1.033887832728098109e-03,-4.029958907663069856e-03,1.497326977151360039e-03,1.208973221659908649e-02,-7.560211488065944271e-03,-3.567920015380945248e-03,8.110801828047577502e-03,1.755943765617060115e-02,9.776761122903508683e-03
5.461209999999999809e+02,3.618239398147898855e-02,-9.443618709827940327e-05,-6.438021744747276370e-03,-4.452531837339261320e-03,9.762368359064833856e-03,-7.888795598298168482e-03,-4.123663378274289998e-03,4.324940291087689750e-03,7.782627542909645486e-03,8.807966477569099256e-03
5.489239999999999782e+02,3.393701075397338035e-02,-2.170123584519692127e-03,-3.925259974045438444e-03,-2.853934123949703177e-03,4.054933751031136735e-03,-1.091986366551537038e-02,-1.498611201088687322e-03,1.775641550112861192e-03,5.364398237875319525e-03,7.507441842071953947e-03
5.517269999999999754e+02,2.671106087740779400e-02,-5.702834265548335432e-04,9.824575869619241088e-04,7.790042031429644104e-03,3.287107161512172176e-03,-1.196646529060559939e-02,1.384499519944689273e-03,2.673536154799358890e-03,1.167161149224579982e-02,5.999551433366425747e-03
5.545280000000000200e+02,2.405257648226839101e-02,1.738004247488319793e-03,1.372034118401607369e-04,2.634757337132023411e-03,6.602406149951967410e-03,-7.536638127158172031e-03,3.714520285997598235e-03,5.172996993165249711e-03,1.609258908885189202e-02,6.336153664669622911e-03
5.573289999999999509e+02,2.439472919449440363e-02,-1.063194912279427293e-03,2.839812673868741342e-03,-1.963028007099234737e-03,7.901382840554240991e-03,-3.741415181604148057e-03,4.671519069792485004e-03,5.115534880853460191e-03,3.435663735687281319e-03,4.550550604948236030e-03
5.601280000000000427e+02,2.652163065277712145e-02,6.074215192242550868e-04,3.508276570836238364e-03,-1.076692162118943457e-03,8.432227020038507784e-03,-6.347647775313982818e-03,-8.999721419101548193e-04,4.227373670998105584e-03,3.038515922533568947e-03,3.177413672961065805e-03
5.629270000000000209e+02,3.120652002542666226e-02,3.738828383377590988e-03,-2.440572736761703956e-03,4.185853536946164410e-03,1.115988642104731934e-02,-6.136983338195635927e-03,-2.516972720487938540e-03,6.225105893980850159e-03,9.212593011762824913e-03,2.718147085392592487e-03
5.657250000000000227e+02,3.609885347618728424e-02,1.337118155532253730e-03,-1.932231581155124424e-03,1.413898660904338439e-03,8.471116136304012237e-03,2.438491126656773707e-03,-9.901232065496678655e-04,4.494879712991944366e-03,6.497126729792510047e-03,2.556348018362770026e-03
5.685220000000000482e+02,3.055351349641693623e-02,-9.325845209537178548e-04,-1.194999304520802039e-02,5.339625742991693964e-03,8.543681966484573814e-03,6.013747854713389317e-03,4.155086396840596517e-03,5.092565163978003337e-03,4.426282560262770338e-05,1.526616374314055183e-04
5.713179999999999836e+02,2.540203570596080013e-02,2.028713889332416868e-03,-9.595159874376896214e-03,7.137343321740241206e-03,1.165648333319113661e-02,7.984076199348032546e-04,3.230664172521609256e-03,5.812997527589743897e-03,6.225735259118051271e-03,-6.473209050240303838e-04
5.741130000000000564e+02,2.206144505912031178e-02,5.666427132609072950e-03,-1.638754057265372210e-02,1.024645183912140448e-02,1.649157524582006706e-02,-4.087212454948101550e-03,2.210041866343611695e-03,6.982714230886699625e-03,1.177616304928622709e-02,2.440337576237165511e-03
5.769070000000000391e+02,2.891774276345560751e-02,7.235864955690719108e-04,-1.100345483144779882e-02,8.050637540217894100e-03,1.422492728002676746e-02,-1.373262859303009918e-03,2.004374650839733409e-03,1.717516956325179731e-03,-8.673855334825576399e-04,4.807598516541076138e-03
5.797000000000000455e+02,2.937905170336099422e-02,-1.332188142804258645e-03,-1.130702834132598852e-02,8.124982345740414807e-03,1.193291995378950934e-02,4.748392067935660286e-03,6.703123947477546141e-06,-5.059246667932573716e-05,-2.373757332827082511e-03,5.860017558920259384e-03
5.824930000000000518e+02,3.436594988016839630e-02,6.416279890771722436e-04,2.588536428918858552e-03,8.628503919948335432e-03,9.397818809965456308e-03,8.640880277514671054e-03,1.544853503875315281e-03,2.062985410563160545e-03,7.101956586363055747e-03,4.407579354969403708e-03
5.852839999999999918e+02,3.623211590293381329e-02,5.636455214865941296e-04,1.245794649371687220e-03,9.910304205716074372e-03,1.116648169890570828e-02,4.781968247842282443e-03,6.982312967208690810e-03,7.910331013578290882e-03,1.393104536507426550e-02,5.492959491477636749e-03
5.880750000000000455e+02,3.887319742492834768e-02,-1.711151658956867536e-03,-1.259653202224909375e-02,1.271032752555184900e-02,7.076017258321133131e-03,4.435031323613647034e-03,9.956568726091394317e-03,7.109162436259700707e-03,1.035670670827795389e-02,4.973854792819675137e-03
5.908640000000000327e+02,3.474131233914295319e-02,-1.484117842898155862e-03,-1.313293345632714215e-02,1.005291632949244403e-02,6.306657319030828900e-03,3.968800849511141746e-03,5.118662045812227661e-03,3.792307119839801247e-03,1.139217362184435228e-02,3.703552967519525580e-03
5.936530000000000200e+02,3.203446028040208421e-02,4.836306428209905320e-03,5.951547013150123092e-03,4.681115087536481985e-03,7.433620945780679626e-03,4.744997478867269552e-03,5.795981753934085698e-03,1.208092841809638943e-03,1.427328989049844732e-02,2.199832477746934550e-03
5.964410000000000309e+02,3.068678754679134840e-02,6.339180928067286031e-03,1.539667400539929121e-03,2.993227762197570030e-03,9.640999323214069147e-03,2.566106699102192225e-03,6.797852388470711389e-03,1.908456742737698816e-04,1.102364043063122981e-02,1.827058745880364311e-03
5.992279999999999518e+02,2.899990596292845169e-02,4.148732251396341705e-03,9.022552736682239172e-03,5.335432997049307895e-03,7.052022809413973151e-03,3.754378894614428600e-03,7.103332270442951416e-03,-3.252826273629030353e-04,1.267818620775741992e-02,7.761540847440696542e-04
6.020140000000000100e+02,2.266100757022442708e-02,5.836186635666795394e-03,5.602480350033384182e-03,3.558626178049810636e-03,1.340596963100810363e-02,7.520758788301194070e-04,5.904419060016127645e-03,2.988629294999062096e-03,2.257533058253354333e-02,1.299517882928325537e-03
6.047989999999999782e+02,2.247453061146003836e-02,1.025036238394345586e-02,4.888360987470053223e-03,9.247077506263011795e-03,1.930120343913208775e-02,5.479952945377376816e-03,6.314839005805826348e-03,9.155381852596492301e-03,2.680880393727593999e-02,4.179827730845914711e-03
6.075829999999999700e+02,2.924505901488535370e-02,7.659566369731666755e-03,-4.044080955616797743e-03,6.994735499473766355e-03,1.690777519174506416e-02,9.376129116516328244e-03,6.154991030633788322e-03,9.555355694558571866e-03,1.884178090679482567e-02,5.366233515267376276e-03
6.103669999999999618e+02,3.574786796080629131e-02,1.063897160424745816e-03,-1.771375669541311662e-04,8.141495610128465441e-04,1.192462333319020337e-02,1.021793818770147869e-02,5.103584599864264583e-03,5.637218391041847604e-03,9.319040859177150221e-03,2.607733949493342557e-03
6.131490000000000009e+02,3.558142555318952877e-02,-1.193710132771829725e-03,6.792230469747227023e-03,1.894274893705648159e-03,1.134942521147303852e-02,1.281594600090412307e-03,5.743366831110525636e-03,1.430531347429333210e-03,9.997719370073016032e-03,1.433556289819920126e-03
6.159310000000000400e+02,3.076494169063287779e-02,-2.577206873186856442e-03,-1.439993711436745108e-04,9.230697148029841370e-03,1.082362357226738722e-02,-1.162173793230708400e-03,4.411726939880964218e-03,-3.992856099128351717e-04,-1.546868444441910212e-04,2.261655181758121143e-04
6.187110000000000127e+02,2.318777729819060038e-02,-1.885039235514597870e-03,-2.087664325400440460e-03,7.650591637723677674e-03,5.416187331871299797e-03,1.298784548115606164e-03,2.929097932045468880e-03,-6.982659799811918953e-04,-5.843650904435378733e-03,-1.102352421877042651e-03
