# SpectraMap / WITec Raman Pipeline Export
# Timestamp: 2026-07-22T13:23:16.819078
# Scan File: sec_ext_res_cell
# Grid: 40x40 (1600 pixels)
# Processing Parameters:
#   crop_low: 400.0
#   crop_high: 3300.0
#   skip_silent: True
#   glass_method: None
#   cosmic_ray_threshold: 4.5
#   airpls_strength: 1000.0
#   airpls_itermax: 50
#   norm_mode: dual
#   n_endmembers: 8
#   map_interpolation: none
X_pixel,Y_pixel,EM1_Abundance,EM2_Abundance,EM3_Abundance,EM4_Abundance,EM5_Abundance,EM6_Abundance,EM7_Abundance,EM8_Abundance
0.000000000000000000e+00,0.000000000000000000e+00,3.445957005023956299e-01,7.646914571523666382e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.302443593740463257e-01,3.938328921794891357e-01,1.466726064682006836e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,3.804444968700408936e-01,1.418770700693130493e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.064205244183540344e-01,2.721001803874969482e-01,1.895156651735305786e-01,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,4.936953485012054443e-01,2.655309736728668213e-01,5.022988095879554749e-02,0.000000000000000000e+00,5.130969360470771790e-02,0.000000000000000000e+00,2.094944417476654053e-01,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,7.120102643966674805e-01,0.000000000000000000e+00,6.724563986063003540e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.826218605041503906e-01,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,9.039596915245056152e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.893506921827793121e-02,0.000000000000000000e+00,8.404880762100219727e-02,0.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00,8.289167284965515137e-01,0.000000000000000000e+00,4.885354079306125641e-03,0.000000000000000000e+00,1.794096380472183228e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00,4.411444962024688721e-01,0.000000000000000000e+00,1.018493063747882843e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.886540412902832031e-01,0.000000000000000000e+00
7.000000000000000000e+00,0.000000000000000000e+00,1.842474043369293213e-01,0.000000000000000000e+00,7.208196073770523071e-02,0.000000000000000000e+00,3.221306949853897095e-03,1.462166905403137207e-01,6.673851609230041504e-01,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,1.503865718841552734e-01,5.380875617265701294e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.199953332543373108e-02,3.621282577514648438e-01,4.428295791149139404e-01,0.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00,1.095465272665023804e-01,2.357689589262008667e-01,4.116858169436454773e-02,0.000000000000000000e+00,5.576198175549507141e-02,4.032039642333984375e-01,2.197784334421157837e-01,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00,2.017494663596153259e-02,5.330092310905456543e-01,1.615793704986572266e-01,0.000000000000000000e+00,4.548665881156921387e-02,2.452642172574996948e-01,2.061660028994083405e-02,0.000000000000000000e+00
1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.767620205879211426e-01,1.843416392803192139e-01,0.000000000000000000e+00,3.999042510986328125e-02,1.997966319322586060e-01,1.737219654023647308e-02,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00,3.243579715490341187e-02,6.904636621475219727e-01,1.845458447933197021e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.099975436925888062e-02,2.987052127718925476e-02,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00,3.200444206595420837e-02,5.812749862670898438e-01,2.871887385845184326e-01,1.429653633385896683e-02,0.000000000000000000e+00,5.977814644575119019e-02,3.013025410473346710e-02,2.738558687269687653e-02
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.404462218284606934e-01,2.823609113693237305e-01,4.016582667827606201e-02,0.000000000000000000e+00,9.265723824501037598e-02,6.136365979909896851e-02,1.296608708798885345e-02
