# SpectraMap / WITec Raman Pipeline Export
# Timestamp: 2026-07-22T13:23:16.819078
# Scan File: sec_ext_res_cell
# Grid: 40x40 (1600 pixels)
# Processing Parameters:
#   crop_low: 400.0
#   crop_high: 3300.0
#   skip_silent: True
#   glass_method: None
#   cosmic_ray_threshold: 4.5
#   airpls_strength: 1000.0
#   airpls_itermax: 50
#   norm_mode: dual
#   n_endmembers: 8
#   map_interpolation: none
Wavenumber,Endmember_1,Endmember_2,Endmember_3,Endmember_4,Endmember_5,Endmember_6,Endmember_7,Endmember_8
4.019329999999999927e+02,1.006736394990918326e-01,3.645475276453575414e-02,2.102883022385167514e-02,4.308007881749083973e-02,1.193902120429835012e-02,2.494606270132338627e-02,4.492584302685283942e-02,-1.106104273255817394e-04
4.047830000000000155e+02,1.040632662025985089e-01,3.833598730664933285e-02,2.111316783899939639e-02,4.498707743065486625e-02,2.283729287143307363e-03,2.544714090786441910e-02,4.871059762078280841e-02,5.646262968097767732e-03
4.076329999999999814e+02,1.086404947493504192e-01,3.949648143784430937e-02,2.358406491545851982e-02,4.308114243342679728e-02,-2.829084411043944480e-04,2.725463793968468246e-02,5.607119587698743829e-02,9.980668512582779872e-03
4.104809999999999945e+02,1.090191578115676518e-01,3.986774242828994286e-02,2.537779243474658220e-02,4.084074419994086075e-02,4.221682632101889099e-03,2.656069360275544605e-02,6.084731400024706582e-02,1.114890589734626042e-02
4.133290000000000077e+02,1.068778772125245080e-01,3.825408261445345515e-02,2.374462848537330778e-02,4.145842159928466580e-02,5.724427463966244578e-03,2.514860187672415467e-02,5.916732250913002422e-02,1.169176629389594158e-02
4.161759999999999877e+02,1.075545545932924396e-01,3.882398726651969945e-02,2.098153271773507689e-02,5.109727383737982381e-02,1.118393099551183087e-02,2.612052262041639206e-02,5.792773401083908119e-02,7.332787736961797476e-03
4.190210000000000150e+02,1.078881869101009361e-01,3.880541925618748861e-02,1.881965177061568559e-02,5.445442589819449869e-02,1.081889870112729204e-02,2.730415819412555095e-02,5.986293159547306786e-02,4.732470762355688032e-03
4.218659999999999854e+02,1.030448889615036001e-01,3.645496284724979164e-02,1.845416008961375115e-02,5.017847336517770179e-02,4.358832799729893404e-03,2.635049991608286180e-02,5.913685712316928134e-02,1.627857941965946131e-03
4.247099999999999795e+02,9.914316033856396260e-02,3.391446068698893840e-02,1.998301739067791238e-02,4.453777853786385077e-02,6.031465476589829844e-03,2.308126189303875975e-02,5.765837636046317050e-02,5.218782159630824119e-03
4.275529999999999973e+02,9.917973194323509434e-02,3.284740198148728557e-02,2.181621429724398681e-02,3.556413785125429883e-02,7.697020359178286669e-03,2.205931830387269921e-02,5.527019944028667420e-02,7.849589153719482154e-03
4.303949999999999818e+02,1.058626052742226709e-01,3.579966279122126505e-02,2.270595479292466037e-02,3.742960395379518745e-02,8.001588698497708041e-03,2.399811456516147065e-02,5.802328518412355751e-02,1.008070057804609163e-02
4.332359999999999900e+02,1.157459533195014378e-01,3.919752959411869353e-02,2.319269959156478392e-02,4.801214279753594771e-02,1.130308673343527470e-02,2.898431082699442357e-02,6.437909081601846106e-02,5.634084277917394967e-03
4.360760000000000218e+02,1.203234263154440292e-01,4.060191079854313934e-02,2.331330785737683112e-02,6.050332004036911016e-02,2.124340392090246984e-02,3.006591998444429689e-02,6.799774046339387978e-02,4.037214684467528569e-03
4.389150000000000205e+02,1.185419060002123742e-01,3.914422156941107372e-02,2.271469976488378964e-02,6.412688260620302838e-02,3.057865585421085802e-02,2.705489267846152013e-02,6.259672065967349097e-02,3.809945337729964132e-03
4.417540000000000191e+02,1.092626043910879252e-01,3.547242514008592390e-02,2.108949323645605348e-02,5.795993555028725042e-02,2.592833009715009990e-02,2.327299166709768247e-02,5.177676599327593610e-02,5.396280318313663449e-03
4.445910000000000082e+02,1.047857657785617458e-01,3.453754729937005830e-02,1.980362788895158321e-02,5.122987028053612585e-02,2.110343709682311122e-02,2.216833175105377418e-02,4.326073952493526831e-02,1.048712028252192507e-03
4.474270000000000209e+02,1.046086152143974324e-01,3.448660428520227555e-02,1.917950447779496331e-02,4.725873608683124616e-02,1.141981313183308352e-02,2.261346707190250993e-02,4.593001028163172517e-02,8.320178268055727910e-04
4.502629999999999768e+02,1.091174614595066539e-01,3.560386255863273730e-02,1.982282087583123534e-02,5.051666691397176112e-02,1.340591737078998882e-02,2.320370819614623464e-02,5.109070008483698744e-02,1.424316301727797385e-03
4.530969999999999800e+02,1.074545708597449967e-01,3.372100824284005732e-02,1.942314856610068488e-02,5.032458100099546777e-02,1.270920412187384954e-02,2.238775720210000458e-02,5.213624926928670661e-02,5.154395630899390873e-03
4.559309999999999832e+02,9.854480964868486681e-02,2.978360255328184672e-02,1.784518076985065066e-02,4.483140216013992152e-02,1.051343149264433174e-02,1.956664827522956729e-02,4.476170394707450206e-02,5.713901415523262028e-03
4.587640000000000100e+02,9.831390310542037492e-02,2.911563246341386177e-02,1.866622585739639156e-02,3.683860048092385542e-02,6.946214784760807587e-03,1.826884739516944356e-02,4.348472073675421767e-02,5.753045560792712648e-03
4.615960000000000036e+02,1.067794435421991900e-01,3.393312040095885357e-02,2.130060139714749085e-02,4.411382645287571791e-02,1.647672027721200708e-02,2.135796030331021250e-02,5.088540657099635545e-02,5.265234880533577189e-03
4.644270000000000209e+02,1.128965242398106972e-01,3.957558634872276188e-02,2.218866037602422805e-02,6.377105420548098702e-02,3.467752178969056576e-02,2.450366834335857696e-02,6.016208947925796857e-02,7.752482640908685274e-03
